Id_survey,Id_survey_no_dc,Institution_name,Uniq_db,Id_group,Date,Year_grp,Year,Month,Day,Julian_day,Pc_start,Pc_duration,N_samp_periods,N_reps,Rep_year_grp,Season,Rep_season,Spp_obs,Noise,Weather,Cows_50m,Registered_by,Sampling_day,Canopy_cover,Canopy_height_m
C-MB-B-LM_04,MB-B-LM_04,Cipav,Cipav mbd,C-MB-B-LM,2017-08-08,16-17,2017,8,8,220,09:52:00,00:06:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,6.148347613218798,0
C-MB-B-LP_01,MB-B-LP_01,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,06:47:00,00:10:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,48.16801173881148,0
C-MB-B-LP_02,MB-B-LP_02,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,07:21:00,,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,47.372678396871855,16.6
C-MB-B-LP_03,MB-B-LP_03,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,08:15:00,00:27:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,43.54712362301072,0
C-MB-B-LP_04,MB-B-LP_04,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,09:37:00,00:31:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,44.12744618395307,0
C-MB-BL-EP_01,MB-BL-EP_01,Cipav,Cipav mbd,C-MB-BL-EP,2016-11-30,16-17,2016,11,30,335,08:49:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",65,5.3475417776700915,0
C-MB-BL-EP_02,MB-BL-EP_02,Cipav,Cipav mbd,C-MB-BL-EP,2016-11-30,16-17,2016,11,30,335,08:21:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",65,5.114631197097993,2
C-MB-BL-EP_03,MB-BL-EP_03,Cipav,Cipav mbd,C-MB-BL-EP,2016-11-30,16-17,2016,11,30,335,07:44:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",65,5.1866504854368305,0
C-MB-BL-EP_04,MB-BL-EP_04,Cipav,Cipav mbd,C-MB-BL-EP,2016-11-30,16-17,2016,11,30,335,06:57:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",65,5.37194679564691,0
C-MB-CD-LMO_01,MB-CD-LMO_01,Cipav,Cipav mbd,C-MB-CD-LMO,2016-09-27,16-17,2016,9,27,271,06:04:00,00:23:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,58.386552567237096,10.3
C-MB-CD-LMO_02,MB-CD-LMO_02,Cipav,Cipav mbd,C-MB-CD-LMO,2016-09-27,16-17,2016,9,27,271,06:50:00,00:25:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,58.458619000979354,6.4
C-MB-CD-LMO_03,MB-CD-LMO_03,Cipav,Cipav mbd,C-MB-CD-LMO,2016-09-27,16-17,2016,9,27,271,08:02:00,00:12:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,57.89300613496939,5.2
C-MB-CD-LMO_04,MB-CD-LMO_04,Cipav,Cipav mbd,C-MB-CD-LMO,2016-09-27,16-17,2016,9,27,271,08:17:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,57.45300613496941,9.2
C-MB-CS-CA_01,MB-CS-CA_01,Cipav,Cipav mbd,C-MB-CS-CA,2016-10-17,16-17,2016,10,17,291,06:33:00,00:36:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",21,19.15431201550393,0
C-MB-CS-CA_02,MB-CS-CA_02,Cipav,Cipav mbd,C-MB-CS-CA,2016-10-17,16-17,2016,10,17,291,07:30:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",21,20.766328011611268,0
C-MB-CS-CA_03,MB-CS-CA_03,Cipav,Cipav mbd,C-MB-CS-CA,2016-10-17,16-17,2016,10,17,291,08:20:00,00:16:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",21,20.925030229745804,4
C-MB-CS-CA_04,MB-CS-CA_04,Cipav,Cipav mbd,C-MB-CS-CA,2016-10-17,16-17,2016,10,17,291,08:48:00,00:11:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",21,24.402851619139913,0
C-MB-CS-LD2_01,MB-CS-LD2_01,Cipav,Cipav mbd,C-MB-CS-LD2,2016-10-19,16-17,2016,10,19,293,07:45:00,00:18:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",23,64.07513330101817,11.6
C-MB-CS-LD2_02,MB-CS-LD2_02,Cipav,Cipav mbd,C-MB-CS-LD2,2016-10-19,16-17,2016,10,19,293,08:06:00,00:28:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",23,58.828219376661195,0
C-MB-CS-LD2_03,MB-CS-LD2_03,Cipav,Cipav mbd,C-MB-CS-LD2,2016-10-19,16-17,2016,10,19,293,08:36:00,00:35:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",23,57.22783280985748,7.8
C-MB-CS-LD2_04,MB-CS-LD2_04,Cipav,Cipav mbd,C-MB-CS-LD2,2016-10-19,16-17,2016,10,19,293,09:13:00,00:16:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",23,53.307859733978134,8.2
C-MB-CS-LL_01,MB-CS-LL_01,Cipav,Cipav mbd,C-MB-CS-LL,2017-11-06,16-17,2017,11,6,310,06:42:00,00:28:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",91,65.64283983523153,14.5
C-MB-CS-LL_02,MB-CS-LL_02,Cipav,Cipav mbd,C-MB-CS-LL,2017-11-06,16-17,2017,11,6,310,07:31:00,00:27:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",91,45.215306369581455,9.4
C-MB-CS-LL_03,MB-CS-LL_03,Cipav,Cipav mbd,C-MB-CS-LL,2017-11-06,16-17,2017,11,6,310,08:47:00,00:10:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",91,32.711716091393555,4.2
C-MB-CS-LL_04,MB-CS-LL_04,Cipav,Cipav mbd,C-MB-CS-LL,2017-11-06,16-17,2017,11,6,310,09:02:00,00:27:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",91,22.614192298376125,9.5
C-MB-CS-PV_01,MB-CS-PV_01,Cipav,Cipav mbd,C-MB-CS-PV,2017-11-07,16-17,2017,11,7,311,06:44:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",92,20.16166505324285,2
C-MB-CS-PV_02,MB-CS-PV_02,Cipav,Cipav mbd,C-MB-CS-PV,2017-11-07,16-17,2017,11,7,311,07:40:00,00:29:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",92,26.970716360116253,0
C-MB-CS-PV_03,MB-CS-PV_03,Cipav,Cipav mbd,C-MB-CS-PV,2017-11-07,16-17,2017,11,7,311,08:10:00,00:17:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",92,32.852812803104456,0
C-MB-CS-PV_04,MB-CS-PV_04,Cipav,Cipav mbd,C-MB-CS-PV,2017-11-07,16-17,2017,11,7,311,08:38:00,00:25:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",92,37.86398838334808,5.2
C-MB-CS-SI_01,MB-CS-SI_01,Cipav,Cipav mbd,C-MB-CS-SI,2016-10-16,16-17,2016,10,16,290,10:50:00,00:22:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",20,46.17070805043699,11.4
C-MB-CS-SI_02,MB-CS-SI_02,Cipav,Cipav mbd,C-MB-CS-SI,2016-10-16,16-17,2016,10,16,290,07:50:00,00:22:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",20,46.80261564543456,8.8
C-MB-CS-SI_03,MB-CS-SI_03,Cipav,Cipav mbd,C-MB-CS-SI,2016-10-16,16-17,2016,10,16,290,09:21:00,00:24:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",20,46.27972874788051,9.6
C-MB-CS-SI_04,MB-CS-SI_04,Cipav,Cipav mbd,C-MB-CS-SI,2016-10-16,16-17,2016,10,16,290,09:01:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",20,46.99732620320826,12.4
C-MB-G-LO_01,MB-G-LO_01,Cipav,Cipav mbd,C-MB-G-LO,2016-10-15,16-17,2016,10,15,289,06:28:00,00:25:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",19,26.817193914513,0
C-MB-G-LO_02,MB-G-LO_02,Cipav,Cipav mbd,C-MB-G-LO,2016-10-15,16-17,2016,10,15,289,07:29:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",19,32.83200579290456,2
C-MB-G-LO_03,MB-G-LO_03,Cipav,Cipav mbd,C-MB-G-LO,2016-10-15,16-17,2016,10,15,289,08:48:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",19,33.535912938332494,0
C-MB-G-LO_04,MB-G-LO_04,Cipav,Cipav mbd,C-MB-G-LO,2016-10-15,16-17,2016,10,15,289,09:19:00,00:17:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",19,32.783187984496074,0
C-MB-G-LO_05,MB-G-LO_05,Cipav,Cipav mbd,C-MB-G-LO,2016-10-15,16-17,2016,10,15,289,09:42:00,00:15:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",19,49.0623941958875,7.3
C-MB-G-LP_01,MB-G-LP_01,Cipav,Cipav mbd,C-MB-G-LP,2016-10-18,16-17,2016,10,18,292,06:10:00,01:02:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",22,27.86566440349197,9.5
C-MB-G-LP_02,MB-G-LP_02,Cipav,Cipav mbd,C-MB-G-LP,2016-10-18,16-17,2016,10,18,292,07:52:00,01:06:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",22,34.259097525472804,7.9
C-MB-G-LP_03,MB-G-LP_03,Cipav,Cipav mbd,C-MB-G-LP,2016-10-18,16-17,2016,10,18,292,08:58:00,00:28:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",22,30.690355329949423,0
C-MB-G-LP_04,MB-G-LP_04,Cipav,Cipav mbd,C-MB-G-LP,2016-10-18,16-17,2016,10,18,292,09:26:00,00:35:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",22,24.863460608990017,11
C-MB-M-C_01,MB-M-C_01,Cipav,Cipav mbd,C-MB-M-C,2017-11-03,16-17,2017,11,3,307,05:50:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",88,16.10139945985736,4.8
C-MB-M-C_02,MB-M-C_02,Cipav,Cipav mbd,C-MB-M-C,2017-11-03,16-17,2017,11,3,307,06:31:00,00:12:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",88,16.277682298060835,0
C-MB-M-C_03,MB-M-C_03,Cipav,Cipav mbd,C-MB-M-C,2017-11-03,16-17,2017,11,3,307,07:09:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",88,15.596474045053752,11.2
C-MB-M-C_04,MB-M-C_04,Cipav,Cipav mbd,C-MB-M-C,2017-11-03,16-17,2017,11,3,307,07:34:00,00:41:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",88,16.34249263984281,18.5
C-MB-M-EPO2_01,MB-M-EPO2_01,Cipav,Cipav mbd,C-MB-M-EPO2,2016-11-01,16-17,2016,11,1,306,06:40:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",36,38.02476704266721,21.9
C-MB-M-EPO2_02,MB-M-EPO2_02,Cipav,Cipav mbd,C-MB-M-EPO2,2016-10-31,16-17,2016,10,31,305,07:05:00,00:13:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",35,34.46231279155363,16.8
C-MB-M-EPO2_03,MB-M-EPO2_03,Cipav,Cipav mbd,C-MB-M-EPO2,2016-10-31,16-17,2016,10,31,305,07:50:00,00:19:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",35,28.439538876625477,0
C-MB-M-EPO2_04,MB-M-EPO2_04,Cipav,Cipav mbd,C-MB-M-EPO2,2016-10-31,16-17,2016,10,31,305,06:10:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",35,23.37723816531737,0
C-MB-M-NC_01,MB-M-NC_01,Cipav,Cipav mbd,C-MB-M-NC,2016-10-30,16-17,2016,10,30,304,07:00:00,00:25:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",34,25.882960413080877,11.1
C-MB-M-NC_02,MB-M-NC_02,Cipav,Cipav mbd,C-MB-M-NC,2016-10-30,16-17,2016,10,30,304,06:20:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",34,24.468158347676457,17.9
C-MB-M-NC_03,MB-M-NC_03,Cipav,Cipav mbd,C-MB-M-NC,2016-10-30,16-17,2016,10,30,304,07:40:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",34,26.93413320274235,9.6
C-MB-M-NC_04,MB-M-NC_04,Cipav,Cipav mbd,C-MB-M-NC,2016-10-30,16-17,2016,10,30,304,09:20:00,00:15:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",34,23.563314482419457,15.2
C-MB-M-S_01,MB-M-S_01,Cipav,Cipav mbd,C-MB-M-S,2017-11-02,16-17,2017,11,2,306,06:19:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",87,27.247546614327973,14.5
C-MB-M-S_02,MB-M-S_02,Cipav,Cipav mbd,C-MB-M-S,2017-11-02,16-17,2017,11,2,306,07:02:00,00:17:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",87,31.07660201325809,0
C-MB-M-S_03,MB-M-S_03,Cipav,Cipav mbd,C-MB-M-S,2017-11-02,16-17,2017,11,2,306,07:32:00,00:23:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",87,30.522080471049968,0
C-MB-M-S_04,MB-M-S_04,Cipav,Cipav mbd,C-MB-M-S,2017-11-02,16-17,2017,11,2,306,07:27:00,00:36:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",87,30.951387183894155,0
C-MB-R-LES_01,MB-R-LES_01,Cipav,Cipav mbd,C-MB-R-LES,2016-09-28,16-17,2016,9,28,272,06:14:00,00:23:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,64.3340675477241,19
C-MB-R-LES_02,MB-R-LES_02,Cipav,Cipav mbd,C-MB-R-LES,2016-09-28,16-17,2016,9,28,272,07:01:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,64.52056807051935,20.4
C-MB-R-LES_03,MB-R-LES_03,Cipav,Cipav mbd,C-MB-R-LES,2016-09-28,16-17,2016,9,28,272,07:55:00,00:15:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,64.554765988728,17
C-MB-R-LES_04,MB-R-LES_04,Cipav,Cipav mbd,C-MB-R-LES,2016-09-28,16-17,2016,9,28,272,07:37:00,00:13:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,63.776331942057,12.1
C-MB-S-BA_01,MB-S-BA_01,Cipav,Cipav mbd,C-MB-S-BA,2017-04-10,16-17,2017,4,10,100,07:41:00,00:19:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",4,47.442326490714,19.8
C-MB-S-BA_02,MB-S-BA_02,Cipav,Cipav mbd,C-MB-S-BA,2017-04-10,16-17,2017,4,10,100,06:05:00,00:14:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",4,49.20356793743905,17.8
C-MB-S-BA_03,MB-S-BA_03,Cipav,Cipav mbd,C-MB-S-BA,2017-04-10,16-17,2017,4,10,100,06:27:00,00:09:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",4,49.65672371638129,14.3
C-MB-S-BA_04,MB-S-BA_04,Cipav,Cipav mbd,C-MB-S-BA,2017-04-10,16-17,2017,4,10,100,06:40:00,00:29:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",4,50.2890625,19.4
C-MB-S-LR_01,MB-S-LR_01,Cipav,Cipav mbd,C-MB-S-LR,2017-04-11,16-17,2017,4,11,101,07:39:00,00:15:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",5,67.0364392271949,20.6
C-MB-S-LR_02,MB-S-LR_02,Cipav,Cipav mbd,C-MB-S-LR,2017-04-11,16-17,2017,4,11,101,07:17:00,00:14:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",5,66.59530791788828,22.1
C-MB-S-LR_03,MB-S-LR_03,Cipav,Cipav mbd,C-MB-S-LR,2017-04-11,16-17,2017,4,11,101,06:13:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",5,65.82416238689108,18.9
C-MB-S-LR_04,MB-S-LR_04,Cipav,Cipav mbd,C-MB-S-LR,2017-04-11,16-17,2017,4,11,101,08:25:00,00:24:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",5,66.00537634408583,19
C-MB-S-V_01,MB-S-V_01,Cipav,Cipav mbd,C-MB-S-V,2017-04-09,16-17,2017,4,9,99,06:35:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",3,52.117503059975725,13.6
C-MB-S-V_02,MB-S-V_02,Cipav,Cipav mbd,C-MB-S-V,2017-04-09,16-17,2017,4,9,99,07:10:00,00:23:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",3,48.12829912023442,5.6
C-MB-S-V_03,MB-S-V_03,Cipav,Cipav mbd,C-MB-S-V,2017-04-09,16-17,2017,4,9,99,08:28:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",3,44.10746634026931,9.1
C-MB-S-V_04,MB-S-V_04,Cipav,Cipav mbd,C-MB-S-V,2017-04-09,16-17,2017,4,9,99,08:28:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",3,44.4357405140757,0
C-MB-T-ECH_01,MB-T-ECH_01,Cipav,Cipav mbd,C-MB-T-ECH,2017-11-13,16-17,2017,11,13,317,06:24:00,00:23:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",98,28.06733594515176,16.7
C-MB-T-ECH_02,MB-T-ECH_02,Cipav,Cipav mbd,C-MB-T-ECH,2017-11-13,16-17,2017,11,13,317,07:12:00,00:25:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",98,27.078151880068905,9.5
C-MB-T-ECH_03,MB-T-ECH_03,Cipav,Cipav mbd,C-MB-T-ECH,2017-11-13,16-17,2017,11,13,317,07:45:00,00:23:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",98,27.63075416258578,0
C-MB-T-ECH_04,MB-T-ECH_04,Cipav,Cipav mbd,C-MB-T-ECH,2017-11-13,16-17,2017,11,13,317,08:28:00,00:18:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",98,23.529411764705607,0
C-MB-T-SA_01,MB-T-SA_01,Cipav,Cipav mbd,C-MB-T-SA,2017-11-12,16-17,2017,11,12,316,06:31:00,00:40:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",97,16.352436933627434,18.6
C-MB-T-SA_02,MB-T-SA_02,Cipav,Cipav mbd,C-MB-T-SA,2017-11-12,16-17,2017,11,12,316,07:15:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",97,15.707639569050032,12.2
C-MB-T-SA_03,MB-T-SA_03,Cipav,Cipav mbd,C-MB-T-SA,2017-11-12,16-17,2017,11,12,316,07:44:00,00:18:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",97,14.832272282076191,11.1
C-MB-T-SA_04,MB-T-SA_04,Cipav,Cipav mbd,C-MB-T-SA,2017-11-12,16-17,2017,11,12,316,08:10:00,00:27:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",97,14.832556999264575,2
