Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Campylorhamphus trochilirostris,Campylorhamphus trochilirostris,42,60.7,56,4.4,5.5,21.5,98.5,14.9,84.6,15.1,91.9,40.8,Forest,Dense,Carnivore,Invertivore,Insessorial,-30.72,12.46,-10.07,-58.92,7392722.43,Forest,Sedentary,Sedentary,Invertebrate,2,5,1,1,3,2,3.39768197,1700,LC
Icterus icterus,Icterus icterus,8,30.6,23.5,6.4,8.5,30,112.6,18.1,94.5,16.1,98.1,60.88,Forest,Semi_open,Omnivore,Omnivore,Insessorial,5.75,12.63,9,-67.61,432348.96,Forest,Sedentary,Sedentary,Herbivore,4,4,0.7958800173440752,2,3,2.5,3.737323168,600,LC
Thamnophilus doliatus,Thamnophilus doliatus,42,19.2,11.9,5.6,6.6,26.4,71.2,6.6,67.1,9,62.9,27.03,Woodland,Semi_open,Carnivore,Invertivore,Generalist,-27.52,23.8,-6.53,-59.31,10725968.4,Forest,Sedentary,Sedentary,Invertebrate,5,5,0.6020599913279624,2,3,2.5,3.565357105,2100,LC
Pheugopedius mystacalis,Pheugopedius mystacalis,6,19.6,11.7,4,4.7,24.3,64.5,5.8,58.6,9.1,59.3,29,Forest,Dense,Carnivore,Invertivore,Insessorial,-3.92,10.8,4.39,-75.05,271375.88,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,NA,NA,NA,2.495412214,1500,LC
Inezia tenuirostris,Inezia tenuirostris,4,10,5.8,2.8,2.6,15,43.2,5.5,37.7,12.8,38.9,5,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,10.22,12.46,11.14,-71.22,59966.6,Forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,NA,NA,NA,1.947474958,900,LC
Pulsatrix perspicillata,Pulsatrix perspicillata,5,47.9,25.2,12.6,22.5,55.1,339.3,95.1,243,28.1,202.6,983.55,Forest,Dense,Carnivore,Vertivore,Insessorial,-30.27,19.04,-6.68,-58.95,12679502.98,Forest,Sedentary,Sedentary,Vertebrate,2,4,1.0969100130080565,2,2,2,8.08103472,1600,LC
Rhodinocichla rosea,Rhodinocichla rosea,6,23.1,13.7,4.4,5.8,26.2,81.2,7.2,71.5,9.1,78.8,48,Shrubland,Dense,Herbivore,Omnivore,Insessorial,4.27,23.43,13.47,-85.96,163331.81,Non-forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,2,3,2.5,3.664406321,2100,LC
Malacoptila mystacalis,Malacoptila mystacalis,12,32.4,23.4,9.6,10,17.2,90.7,18.2,70.6,20.5,73.4,49,Forest,Dense,Carnivore,Invertivore,Insessorial,1.26,11.24,6.72,-74.14,94080.96,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,3.351790082,2150,LC
Sclerurus albigularis,Sclerurus albigularis,7,22.9,15.9,4,4.8,21.3,85.9,15.5,72.7,17.5,63.5,34.8,Forest,Dense,Carnivore,Invertivore,Terrestrial,-18.89,11.35,-6.68,-70.25,522646.45,Forest,Sedentary,Sedentary,Invertebrate,2,1,1.6989700043360187,2,2,2,2.941485266,2350,NT
Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus,31,50.6,37.9,8.3,10.5,32.2,135.3,20.8,113.8,15.4,122.6,93.04,Forest,Dense,Carnivore,Invertivore,Insessorial,-18.47,21.56,-3.3,-67,4853651.84,Forest,Sedentary,Altitudinal,Invertebrate,2,2,1.3979400086720375,2,3,2.5,4.016429747,3800,LC
Vireo leucophrys,Vireo leucophrys,33,14,7.8,3.8,3.9,17.6,64.9,12.3,52.7,18.9,49.7,12.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.74,23.74,2.06,-78.73,592873.42,Forest,Sedentary,Altitudinal,Invertebrate,2,3,1.2218487496163564,2,3.57,2.785,2.701640198,2000,LC
Tityra inquisitor,Tityra inquisitor,13,26.3,18.5,11.6,9.2,21.6,105.7,28.1,77.9,26.5,65.6,43.1,Forest,Dense,Herbivore,Frugivore,Insessorial,-30.12,21.72,-7.47,-58.6,11190798.84,Forest,Sedentary,Irregular,Fruit,2,2,1.3979400086720375,2,3,2.5,3.066326799,1500,LC
Ornithion brunneicapillus,Ornithion brunneicapillus,4,9.3,5.3,3,3.7,12.9,43.5,5.5,38,12.6,27.1,7.1,Forest,Dense,Carnivore,Invertivore,Insessorial,-3.56,11.4,6.5,-76.32,282994.63,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,NA,NA,NA,2.190523499,1300,LC
Basileuterus culicivorus,Basileuterus culicivorus,15,12.8,7.8,4,3.8,19.5,59.5,10.6,47.9,18.1,53.1,10.5,Forest,Dense,Carnivore,Invertivore,Insessorial,7.24,25.21,17.29,-92.2,522685.98,Forest,Sedentary,Sedentary,Invertebrate,3,3,1.045757490560675,2,4,3,2.305810826,1900,LC
Arremon schlegeli,Arremon schlegeli,5,16.9,10.7,5.2,8.2,24.2,71.5,6.5,65.9,9,61.4,27.7,Woodland,Semi_open,Herbivore,Omnivore,Insessorial,6.57,12.46,10.07,-72.05,187790.91,Forest,Sedentary,Sedentary,Omnivore,3,3,1.045757490560675,2,NA,2,2.943577357,1500,LC
Pitangus lictor,Philohydor lictor,5,23.4,16.4,5.8,4.8,18.8,86.8,14.7,70.8,17.2,74.2,25.5,Wetland,Semi_open,Carnivore,Invertivore,Insessorial,-23.01,12.46,-4.68,-60.43,9185994.71,Non-forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,3,2.5,2.978284024,700,LC
Phalacrocorax brasilianus,Nannopterum brasilianus,10,62.6,44.6,11.9,14.9,48.7,275.4,91.8,191.7,32.4,187.2,1239.29,Wetland,Open,Carnivore,Aquatic predator,Generalist,-55.98,34.12,-11.18,-65.4,18288655.94,Non-forest,Sedentary,Irregular,Fish,2,4,1.0969100130080565,1,7,4,5.464667654,5300,LC
Arremon basilicus,Arremon basilicus,0,18.9,10.7,6.1,7.2,32.2,80.5,7.8,72.8,9.8,85.7,41.96,Forest,Dense,Omnivore,Omnivore,Generalist,10.26,11.19,10.73,-73.58,8179.69,Forest,Sedentary,Sedentary,Invertebrate,2,1,1.6989700043360187,NA,2,2,2.534393376,3900,NT
Myrmeciza longipes,Myrmeciza longipes,11,20.3,12,4.3,4.5,29.2,64.8,4,61.3,6.4,53.1,27.9,Woodland,Dense,Carnivore,Invertivore,Terrestrial,-2.5,12.36,6.41,-65.33,1110901.77,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,3.288420447,1850,LC
Phaethornis atrimentalis,Phaethornis atrimentalis,4,25.2,20.5,1.7,1.9,4,38.5,25,13.5,65,33,2.6,Forest,Dense,Herbivore,Nectarivore,Aerial,-11.8,5.51,-2.16,-74.54,829137.73,Forest,Sedentary,Sedentary,Nectar,2,1,1.6989700043360187,NA,2,2,1.722270969,1300,LC
Tyrannulus elatus,Tyrannulus elatus,8,8.3,5,3.2,3.1,13.7,48.2,8.7,36.9,19.2,40.7,7,Shrubland,Semi_open,Omnivore,Invertivore,Insessorial,-16.94,11.42,-1.95,-64.64,6406376.29,Non-forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,1,2,1.5,2.491918649,1800,LC
Myadestes ralloides,Myadestes ralloides,56,14.8,6.8,4.6,3.7,20.5,84.1,19.6,64.5,23.3,78.2,29.1,Forest,Dense,Omnivore,Invertivore,Insessorial,-21.08,11.05,-3.19,-73.48,457703.18,Forest,Partial,Sedentary,Invertebrate,2,2,1.3979400086720375,2,2,2,3.13525351,2600,LC
Thamnophilus punctatus,Thamnophilus punctatus,9,19.5,10.8,4.9,6,21.3,68.7,7.1,62.9,10.1,53.3,19.4,Woodland,Dense,Carnivore,Invertivore,Insessorial,-7.39,10.35,3.14,-59.28,1569761.66,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,3.490127049,1600,LC
Dacnis lineata,Dacnis lineata,10,13,7.5,3.5,3.5,14.1,58,14.8,43,25.6,40.6,11,Forest,Semi_open,Herbivore,Frugivore,Insessorial,-17.6,8.08,-3.93,-63.23,6051189.29,Forest,Sedentary,Sedentary,Fruit,2,3,1.2218487496163564,NA,NA,NA,2.534393376,1600,LC
Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,4,14.1,9.1,5.8,3,16.1,40.2,7.3,33,18.1,29.2,7,Forest,Dense,Carnivore,Invertivore,Insessorial,-18.59,4.04,-6.23,-65.28,4205502.11,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.36707891,1500,LC
Glyphorynchus spirurus,Glyphorynchus spirurus,112,13.7,9.7,4.4,4.2,16.5,68.7,16.4,52.3,23.9,66,14.6,Forest,Dense,Carnivore,Invertivore,Insessorial,-19.49,18.66,-2.41,-64.51,7368285.07,Forest,Sedentary,Altitudinal,Invertebrate,2,5,1,1,3,2,2.253523953,2200,LC
Euphonia minuta,Euphonia minuta,9,10.6,5.7,4.1,3.6,12.4,51.4,11.8,39.5,22.9,27.7,10,Forest,Dense,Herbivore,Frugivore,Insessorial,-17.64,17.34,-2.79,-66.78,5149944.3,Forest,Sedentary,Altitudinal,Fruit,2,1,1.6989700043360187,3,5,4,2.376950361,1100,LC
Megascops watsonii,Megascops watsonii,5,23.2,13.3,8.2,13.3,34.2,165.6,43,127.2,25.2,90.6,129,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.5,10.83,-4.61,-63.16,6312593.48,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,2,2,2,3.197060789,900,LC
Chrysuronia oenone,Amazilia oenone,14,24.7,19.8,2.6,2.2,5.2,51.2,32.3,18.7,63.4,30.6,5.04,Forest,Dense,Herbivore,Nectarivore,Aerial,-17.43,11.3,-4.42,-73.08,1336265.93,Forest,Sedentary,Irregular,Nectar,2,4,1.0969100130080565,2,2,2,2.013019605,1800,LC
Myrmophylax atrothorax,Myrmophylax atrothorax,8,16.8,9.4,3.8,3.9,24.9,55.3,7.5,49.4,13.5,52.3,16.1,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.78,7.71,-4.69,-62.39,6800794.01,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,NA,NA,NA,2.41412768,1300,LC
Pheugopedius coraya,Pheugopedius coraya,5,19.2,11.7,3.8,4.5,22.1,62.8,7.1,54.4,11.6,57.4,17.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-12.17,7.89,-0.61,-62.58,3811040.46,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,2,2,2,2.566654867,1500,LC
Tolmomyias poliocephalus,Tolmomyias poliocephalus,5,12.7,7,5.1,3.8,16.1,53.9,7.9,45.1,14.8,46.1,10.8,Forest,Dense,Carnivore,Invertivore,Insessorial,-21.23,8.63,-3.35,-62.46,6112774.74,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,2.570323622,1100,LC
Psarocolius angustifrons,Psarocolius angustifrons,15,53.1,36.9,10.7,16.9,45.6,209.9,52.3,157.3,24.8,179.2,271.5,Forest,Dense,Omnivore,Omnivore,Insessorial,-18.72,11.14,-4.71,-71.37,2224154.87,Forest,Sedentary,Altitudinal,Omnivore,3,2,1.2218487496163564,1,2,1.5,5.944264776,2700,LC
Monasa flavirostris,Monasa flavirostris,5,28.7,21.2,8,9.3,16.7,107.6,24.2,84.3,22.2,106.2,62.8,Forest,Dense,Carnivore,Invertivore,Insessorial,-14.24,5.22,-5.71,-73.21,785439.52,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,2,3,2.5,3.621107115,1500,LC
Chlorostilbon mellisugus,Chlorostilbon mellisugus,40,16.3,14.6,2.2,1.9,3.9,45.2,30.6,15,67.1,26.7,2.61,Forest,Semi_open,Herbivore,Nectarivore,Aerial,-18.42,11.98,-2.51,-66.49,4103961.43,Forest,Partial,Altitudinal,Nectar,2,4,1.0969100130080565,2,2,2,1.740473648,2700,LC
Ceratopipra erythrocephala,Ceratopipra erythrocephala,25,11.9,6.6,3.9,4,15,59,11.4,45.8,20,21.1,13.43,Forest,Dense,Herbivore,Frugivore,Insessorial,-7.44,12.46,2.01,-65.49,3456038.86,Forest,Sedentary,Sedentary,Fruit,2,1,1.6989700043360187,2,2,2,3.148929865,2100,LC
Helicolestes hamatus,Helicolestes hamatus,3,34.8,26.1,10.9,11.6,46,290.3,64.5,225.8,22.3,125.5,425.46,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-16.03,10.67,-3.11,-65.26,2374863.31,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,6.09129356,900,LC
Machaeropterus striolatus,Machaeropterus striolatus,11,9.7,5,3.4,3,13.9,50.8,10.5,41.2,20.2,22.5,9.34,Forest,Dense,Herbivore,Frugivore,Insessorial,-8.92,10.3,-0.55,-71.09,2059505.29,Forest,Sedentary,Sedentary,Fruit,2,2,1.3979400086720375,NA,NA,NA,2.534393376,1800,LC
Heliodoxa schreibersii,Heliodoxa schreibersii,4,26.8,21.2,3.3,2.9,6.2,69.5,44.1,25.4,63.5,49.2,9.17,Forest,Dense,Herbivore,Nectarivore,Aerial,-6.73,3.3,-0.97,-73.18,713038.86,Forest,Sedentary,Sedentary,Nectar,2,2,1.3979400086720375,2,2,2,2.372674374,1400,LC
Chlorophonia cyanea,Chlorophonia cyanea,13,10.9,7.3,4.3,4.1,14.7,62.3,16.6,45.5,26.7,35,14,Forest,Semi_open,Herbivore,Frugivore,Insessorial,-30.67,10.65,-13.47,-58.42,2010700.01,Forest,Sedentary,Altitudinal,Fruit,2,3,1.2218487496163564,2,3,2.5,2.83426564,2300,LC
Chelidoptera tenebrosa,Chelidoptera tenebrosa,5,22.1,15.2,5.2,7.3,13.4,107.2,24.1,82.3,22.4,53.6,35.9,Shrubland,Open,Carnivore,Invertivore,Insessorial,-22.01,12.03,-4.75,-60.36,8690116.86,Non-forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,1,2,1.5,3.730840218,1300,LC
Myiothlypis fulvicauda,Myiothlypis fulvicauda,19,14.3,8.6,4.5,3.9,22.5,63.3,9.8,54.5,15.3,49.7,14.9,Forest,Dense,Carnivore,Invertivore,Terrestrial,-13.81,16.03,-3.5,-72.19,2473113.96,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.831559671,1700,LC
Poecilotriccus latirostris,Poecilotriccus latirostris,7,15,8.7,4.6,3.1,18.7,47.7,5.8,41.9,12.3,33.1,8.1,Forest,Dense,Carnivore,Invertivore,Insessorial,-24.18,1.88,-10.26,-63.63,4661103.33,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.019149431,1200,LC
Myrmotherula axillaris,Myrmotherula axillaris,57,15,9,3.4,3.7,15.4,50.9,7.5,43.9,14.8,36.5,8.09,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.54,15.88,-3.47,-63.12,7734412.17,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,2.962816518,1300,LC
Monasa nigrifrons,Monasa nigrifrons,4,37.5,28.1,9.5,12.1,21.2,127.8,21.4,106.3,16.8,118.8,80.7,Forest,Dense,Carnivore,Invertivore,Insessorial,-22.39,3.26,-8.95,-57.44,7021917.73,Forest,Sedentary,Sedentary,Invertebrate,2,5,1,3,3,3,3.62128808,1100,LC
Galbula albirostris,Galbula albirostris,4,38.2,31.5,5.7,6.1,10.7,74.5,19.9,54.6,26.6,64.8,22.1,Forest,Dense,Carnivore,Invertivore,Insessorial,-4.1,8.17,1.54,-59.48,1881365.04,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,4,3,3.047923458,1400,LC
Cercibis oxycerca,Cercibis oxycerca,4,159,137.8,16.6,22.1,75.6,399.8,141,258.8,35.3,262,1819,Grassland,Open,Carnivore,Aquatic predator,Terrestrial,1.55,10.07,6.45,-67.8,395881.11,Non-forest,Partial,Sedentary,Invertebrate,2,5,1,NA,NA,NA,7.55470897,600,LC
Odontophorus gujanensis,Odontophorus gujanensis,7,19.7,11.2,7.9,11.5,37.2,143.4,18.8,122.8,13.3,71.3,314.06,Forest,Dense,Herbivore,Omnivore,Terrestrial,-20.2,10.72,-4.45,-63.17,7536115.55,Forest,Sedentary,Sedentary,Omnivore,3,1,1.5228787452803376,4,4,4,4.672530393,1900,LC
Mionectes olivaceus,Mionectes galbinus,41,15.5,8.9,4.2,3.4,16.8,66,11.2,54.7,17,51.8,15.31,Forest,Dense,Herbivore,Frugivore,Insessorial,-14.17,11.4,-0.15,-74.84,705078.62,Forest,Sedentary,Altitudinal,Fruit,2,3,1.2218487496163564,2,3,2.5,2.352995239,1900,LC
Celeus flavus,Celeus flavus,11,28.5,22.5,8.3,8.9,25.8,140.2,26.4,114.5,18.7,91,147.33,Forest,Dense,Carnivore,Invertivore,Insessorial,-20.41,10.77,-5.36,-62.16,6163251.01,Forest,Sedentary,Sedentary,Invertebrate,3,6,0.7447274948966939,NA,NA,NA,4.332456862,800,LC
Piranga leucoptera,Piranga leucoptera,19,15.8,10.6,6.7,7.3,18.3,72.5,14.8,57.9,20.3,58.8,16,Forest,Dense,Herbivore,Frugivore,Insessorial,-20.96,22.6,3.87,-78.77,567150.48,Forest,Sedentary,Sedentary,Fruit,2,3,1.2218487496163564,NA,NA,NA,2.337769656,2000,LC
Thalurania furcata,Thalurania furcata,24,24,17.8,2.2,2,4.8,54.6,35,19.7,64.1,37.8,4.19,Forest,Dense,Herbivore,Nectarivore,Aerial,-27.76,10.77,-8.85,-58.18,11225568.61,Forest,Sedentary,Altitudinal,Nectar,2,3,1.2218487496163564,2,2,2,1.914727177,1900,LC
Streptoprocne rutila,Streptoprocne rutila,5,7.1,3,3.7,2,12,130,93.2,38.1,71,44.5,20.2,Forest,Dense,Carnivore,Invertivore,Aerial,-17.92,25.81,7.17,-85.11,1392664.2,Forest,Partial,Altitudinal,Invertebrate,1,2,1.6989700043360187,2,2,2,2.861410823,3100,LC
Doryfera ludovicae,Doryfera ludovicae,17,37.6,30.6,2.8,2.3,5.8,57.4,35.2,22.1,61.5,34.7,6,Forest,Dense,Herbivore,Nectarivore,Aerial,-17.25,10.47,-2.45,-74.65,387149.16,Forest,Sedentary,Altitudinal,Nectar,2,2,1.3979400086720375,2,2,2,2.048170344,2500,LC
Momotus aequatorialis,Momotus aequatorialis,26,45,33.2,11.2,14.1,28.4,154.8,26.8,126.9,17.4,281.5,158,Forest,Dense,Carnivore,Invertivore,Insessorial,-15.48,7.09,-2.79,-75.39,97380.48,Forest,Sedentary,Sedentary,Invertebrate,2,1,1.6989700043360187,2,2,2,4.266625457,1900,LC
Chamaepetes goudotii,Chamaepetes goudotii,11,36.6,16.6,8.8,10.6,67.3,253.4,25.4,231.1,9.9,247.2,727.67,Forest,Dense,Herbivore,Frugivore,Insessorial,-17.48,11.23,-3.03,-75.55,316282.38,Forest,Sedentary,Altitudinal,Fruit,3,4,0.9208187539523752,2,3,2.5,6.396489336,3200,LC
Myioborus miniatus,Myioborus miniatus,66,11.9,7,4.1,3.3,17.7,63.6,10.6,52,17,64.9,9,Forest,Dense,Carnivore,Invertivore,Insessorial,-19.89,28.82,9.54,-85.37,1254327.4,Forest,Sedentary,Altitudinal,Invertebrate,1,2,1.6989700043360187,1,4,2.5,2.597188623,2300,LC
Coeligena coeligena,Coeligena coeligena,25,36.2,32.6,2.8,2.6,5.7,72.1,45.6,26.8,62.9,47.9,6.8,Forest,Dense,Herbivore,Nectarivore,Aerial,-18.06,11.22,-2.05,-73.45,384714.87,Forest,Sedentary,Sedentary,Nectar,2,2,1.3979400086720375,2,2,2,2.226034998,1400,LC
Phylloscartes poecilotis,Pogonotriccus poecilotis,8,11.7,6.4,2.9,2.5,15.6,57.4,9.7,47.7,16.8,52.3,8,Forest,Dense,Carnivore,Invertivore,Insessorial,-14.41,11.12,-1.44,-74.49,213006.74,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,2.269681145,1100,LC
Myiothlypis coronata,Myiothlypis coronata,78,15.2,7.7,4.3,4.2,22.7,68.3,9.9,58.6,14.4,61.3,16.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.73,9.94,-3.64,-74.49,417599.18,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.672433617,2200,LC
Leptopogon rufipectus,Leptopogon rufipectus,18,14.3,7.8,3.8,3.8,15.5,67,11.3,55.2,17,61.1,13.4,Forest,Dense,Carnivore,Invertivore,Insessorial,-5.99,8.1,4.33,-74.49,100544.65,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.479650506,1400,LC
Diglossa sittoides,Diglossa sittoides,16,12.9,7.6,2.5,4.4,18.7,57.1,13.1,46.9,21.9,46.2,9,Forest,Semi_open,Omnivore,Omnivore,Insessorial,-27.54,11.03,-7.65,-72.5,593695.05,Forest,Sedentary,Sedentary,Nectar,2,4,1.0969100130080565,2,2,2,2.585771041,2500,LC
Colibri coruscans,Colibri coruscans,28,29.1,22.4,2.9,2.5,5.6,75.4,47.5,28.5,62.5,51.4,6.7,Human Modified,Semi_open,Herbivore,Nectarivore,Aerial,-27.31,11.11,-8.85,-72,920400.1,Non-forest,Sedentary,Altitudinal,Nectar,2,4,1.0969100130080565,2,2,2,2.029754242,3700,LC
Pyroderus scutatus,Pyroderus scutatus,9,42.5,26.3,13.8,15.5,38,231,41,183.8,18.2,152.2,357,Forest,Dense,Omnivore,Frugivore,Insessorial,-30.68,11.04,-17.64,-52.87,2116677.8,Forest,Partial,Irregular,Fruit,2,2,1.3979400086720375,1,2,1.5,6.493984385,2550,LC
Cyanocorax yncas,Cyanocorax yncas,30,29.6,16.2,9.3,9.9,38.7,121.5,9.5,112.4,7.8,139.3,78.5,Forest,Semi_open,Omnivore,Omnivore,Insessorial,-17.71,28.31,10.8,-84.26,1092392.74,Forest,Sedentary,Sedentary,Omnivore,5,4,0.6989700043360189,2,6,4,7.142998682,3100,LC
Aulacorhynchus haematopygus,Aulacorhynchus haematopygus,13,94,88.3,22.8,28.2,35.7,134.5,20.7,117.7,15,155,194.39,Forest,Dense,Herbivore,Frugivore,Insessorial,-4.54,10.82,3.35,-76,179236.71,Forest,Sedentary,Sedentary,Fruit,5,4,0.6989700043360189,4,4,4,3.948283633,2100,LC
Campephilus pollens,Campephilus pollens,11,49.4,35.9,11.8,11.3,30.4,174.6,28.5,145.9,16.4,127.5,187.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-10.98,7.52,-0.02,-76.75,195689.25,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,5.001515719,3250,LC
Anabacerthia striaticollis,Anabacerthia striaticollis,27,18.6,10.2,3.8,5.4,20,87.3,15.8,71.7,18,76.1,24.8,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.03,11.18,-1.55,-73.77,335322.02,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,3.215997184,2200,LC
Phyllomyias cinereiceps,Phyllomyias cinereiceps,4,10.4,5.2,2.9,2.3,14.4,62.9,14.1,48.8,22.4,46.1,9.5,Forest,Dense,Carnivore,Invertivore,Insessorial,-14.04,7.56,-3.2,-75.96,144525.03,Forest,Sedentary,Sedentary,Invertebrate,2,1,1.6989700043360187,NA,NA,NA,2.333953056,2100,LC
Aglaiocercus kingii,Aglaiocercus kingii,24,20.6,14.3,2.5,2.2,6.3,58.7,36.7,21.6,62.9,45.8,4.84,Forest,Semi_open,Herbivore,Nectarivore,Aerial,-17.62,11.35,-2.03,-73.68,267748.93,Forest,Sedentary,Altitudinal,Nectar,2,5,1,2,2,2,1.926920419,2300,LC
Platyrinchus mystaceus,Platyrinchus albogularis,16,15.3,6.7,7.7,3.6,16.2,53.6,7.6,46.3,14.1,30.2,9.7,Forest,Dense,Carnivore,Invertivore,Insessorial,-18.71,11.36,-0.42,-74.41,702126.07,Forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,2,2,1.89478073,2400,LC
Phaethornis guy,Phaethornis guy,38,42.4,33.6,3.3,2.5,4.7,59.2,37.5,21.1,64,64.4,6.3,Forest,Dense,Herbivore,Nectarivore,Aerial,-14.26,11,-2.19,-75.35,555160.16,Forest,Sedentary,Altitudinal,Nectar,2,2,1.3979400086720375,2,2,2,2.189618159,1800,LC
Adelomyia melanogenys,Adelomyia melanogenys,54,17.9,13.8,2.6,2.1,6,53.1,30.9,20.4,60.2,35.4,4.93,Forest,Dense,Herbivore,Nectarivore,Aerial,-23.59,11.39,-4.42,-73.58,620219.31,Forest,Sedentary,Altitudinal,Nectar,2,1,1.6989700043360187,2,2,2,2.039230598,2200,LC
Colaptes rubiginosus,Colaptes rubiginosus,21,27,18,7.1,7.4,22,123.7,30.1,94.7,24.1,76.3,55.79,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-29.38,21.61,4.1,-73.18,2243128.49,Forest,Sedentary,Sedentary,Invertebrate,1,6,1.2218487496163564,2,4,3,3.002558592,3400,LC
Drymophila striaticeps,Drymophila striaticeps,8,19.7,8.9,4.2,3.5,19.1,53,6,48.4,10.9,74.7,12.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-16.05,7.25,-4.21,-75.59,193411.84,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,NA,NA,NA,2.534393376,2000,LC
Lepidocolaptes lacrymiger,Lepidocolaptes lacrymiger,37,30.5,21,4.6,5.5,19.6,105.6,25.2,80.7,23.8,95.2,30.6,Forest,Dense,Carnivore,Invertivore,Insessorial,-18.57,11.22,-2.59,-74.25,360596.48,Forest,Sedentary,Altitudinal,Invertebrate,1,3,1.5228787452803376,3,3,3,2.871504333,2200,LC
Pionus tumultuosus,Pionus seniloides,4,30,24.4,14.4,26.1,20.4,189,67.5,121.5,35.7,79.3,239,Forest,Dense,Herbivore,Frugivore,Insessorial,-8.84,9.92,1.42,-76.1,224044.52,Forest,Sedentary,Irregular,Fruit,2,4,1.0969100130080565,4,4,4,5.801808394,2300,LC
Pipraeidea melanonota,Pipraeidea melanonota,18,12.6,7.4,4.8,5,17.9,80.1,21.4,59.3,26.5,57.8,21,Forest,Dense,Herbivore,Omnivore,Insessorial,-36.48,10.67,-17.92,-57.99,2111740.74,Forest,Partial,Irregular,Herbivore,4,6,0.619788758288394,2,4,3,2.729408019,3100,LC
Sericossypha albocristata,Sericossypha albocristata,10,25.2,14.8,6.4,7.7,25.4,136.3,35.3,101.2,25.9,93,114,Forest,Dense,Omnivore,Omnivore,Insessorial,-12.06,7.65,-2,-76.41,103262.33,Forest,Sedentary,Irregular,Invertebrate,2,2,1.3979400086720375,NA,NA,NA,4.05078128,1900,VU
Diglossa albilatera,Diglossa albilatera,15,13.1,7.3,3.1,4.6,19.8,56.7,9.6,47.7,16.7,43.5,9.84,Forest,Semi_open,Omnivore,Nectarivore,Insessorial,-10.68,11.04,1.6,-75.78,254619.68,Forest,Sedentary,Sedentary,Nectar,2,3,1.2218487496163564,2,2,2,2.631569974,2500,LC
