Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Glaucis hirsutus,Glaucis hirsutus,24,33.1,28.6,3.2,3.5,4.1,58.8,34.8,23.4,59.8,39.1,6.76,Forest,Dense,Herbivore,Nectarivore,Aerial,-24.03,12.23,-4.08,-62.8,7820159.95,Forest,Sedentary,Sedentary,Nectar,2,6,0.9208187539523752,2,2,2,2.223206629,1800,LC
Eucometis penicillata,Eucometis penicillata,13,18,11.6,6.4,6.9,20.4,88.7,16.3,73.2,18.2,76.8,27,Forest,Dense,Carnivore,Invertivore,Insessorial,-24.57,21.4,-5.93,-63.49,5712449.56,Forest,Sedentary,Sedentary,Invertebrate,2,6,0.9208187539523752,1,3,2,3.268187507,1800,LC
Ammodramus humeralis,Ammodramus humeralis,12,12.6,8.1,4.5,6.3,18.7,56.4,2.4,53.9,4.3,45.6,15.99,Grassland,Open,Herbivore,Granivore,Terrestrial,-41.17,12.46,-16.41,-54.84,9115374.38,Non-forest,Sedentary,Sedentary,Seed,2,4,1.0969100130080565,3,4,3.5,2.183637,1700,LC
Penelope jacquacu,Penelope jacquacu,8,38.4,14.8,8.8,10.4,79.7,296.4,30.3,268.4,10.3,322.4,1487.9,Forest,Dense,Herbivore,Frugivore,Insessorial,-18.28,8.63,-4.44,-66.36,5007343.09,Forest,Sedentary,Sedentary,Fruit,2,3,1.2218487496163564,2,3,2.5,7.440677483,1900,LC
Arundinicola leucocephala,Arundinicola leucocephala,5,17,11.5,5.8,5,16.9,60.1,8.1,52.1,13.3,46.9,13.8,Wetland,Open,Carnivore,Invertivore,Insessorial,-31.39,12.46,-8.67,-54.62,9087776.96,Non-forest,Sedentary,Irregular,Invertebrate,1,2,1.6989700043360187,2,4,3,2.432625991,800,LC
Cercomacroides parkeri,Cercomacroides parkeri,10,17.8,10.5,4.5,4.4,22.8,63.2,6.4,58,10.1,65.2,17.2,Forest,Dense,Carnivore,Invertivore,Insessorial,3.2,8.33,5.42,-75.19,60670.31,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,2.892388115,1070,LC
Ardea cocoi,Ardea cocoi,9,146.9,120.1,18.7,28.2,186.4,466.3,147.5,316.5,31.8,178.3,1752.44,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-47.49,12.17,-12.35,-58.55,14742289.16,Non-forest,Sedentary,Migratory,Fish,3,4,0.9208187539523752,2,5,3.5,6.402787337,2650,LC
Platalea ajaja,Platalea ajaja,9,159.8,126.6,27.6,17.1,97.7,349,119.3,235.9,33.6,93.6,1490,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-40.09,30.37,-13.91,-60.03,7917712.48,Non-forest,Partial,Migratory,Fish,2,4,1.0969100130080565,1,7,4,7.852077571,1100,LC
Geranoaetus albicaudatus,Geranoaetus albicaudatus,4,37.4,22.3,13.8,16.4,87.3,427,148.1,279,34.8,199,885,Grassland,Open,Carnivore,Vertivore,Generalist,-40.32,29.69,-11.82,-58.97,9466789.11,Non-forest,Sedentary,Irregular,Vertebrate,2,3,1.2218487496163564,1,4,2.5,6.56131443,2600,LC
Eudocimus ruber,Eudocimus ruber,5,144.9,118.8,11.9,16.6,82.2,260.4,94.3,159.9,37.1,87,660.08,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-27.8,12.49,2.95,-60.24,816290.78,Non-forest,Partial,Irregular,Invertebrate,3,4,0.9208187539523752,1,3,2,8.073872817,2700,LC
